I0,PA500,HFS,DA,Area,A/DA,Max IP,DR,P,Class,Max IP,I0,DA,PA500
310,0.174707458,0.165457213,98.50996142,2741.032044,27.82492252,49.32786179,85.27000984,388.9778084,mas,49.32786179,310,98.50996142,0.174707458
274.9933959,0.147131256,0.137531945,66.45794304,1217.415651,18.3185876,40.84967804,52.42100773,327.5586387,mas,40.84967804,274.9933959,66.45794304,0.147131256
281.3232629,0.232303323,0.437728576,157.8841812,5305.123206,33.60135997,46.38433456,150.9168917,398.8955488,mas,46.38433456,281.3232629,157.8841812,0.232303323
327,0.141022604,0.084473936,76.21286813,1664.674076,21.84242789,43.22169113,62.77170286,379.2618386,mas,43.22169113,327,76.21286813,0.141022604
470.5164201,0.127409035,0.066322512,150.2240223,2657.910367,17.69297831,47.5606308,142.496468,491.4724885,gla,47.5606308,470.5164201,150.2240223,0.127409035
223,0.12409291,0.079587014,33.09633498,197.0125405,5.952699616,30.45487404,12.95638966,252.4833478,gla,30.45487404,223,33.09633498,0.12409291
152,0.165806279,0.227590934,34.2195504,94.35432796,2.757322257,31.2792778,13.87747773,180.6095533,gla,31.2792778,152,34.2195504,0.165806279
303,0.063355452,0.039793507,22.5678927,102.500309,4.541864424,21.83084106,5.720500629,321.6468374,gla,21.83084106,303,22.5678927,0.063355452
250,0.08709193,0.092851516,29.63751029,180.7612438,6.099069794,26.14209747,13.96326323,280.1229064,gla,26.14209747,250,29.63751029,0.08709193
197,0.132645023,0.07400196,33.46065297,409.6471413,12.24265234,26.99280739,19.77381319,231.7837876,gla,26.99280739,197,33.46065297,0.132645023
197,0.132645023,0.07400196,33.46065297,409.6471413,12.24265234,26.99280739,19.77381319,231.7837876,gla,26.99280739,197,33.46065297,0.132645023
216.4132573,0.117809725,0.068416907,53.59960002,280.4454865,5.232230956,22.79053497,48.51297401,215.3729201,gla,22.79053497,216.4132573,53.59960002,0.117809725
178,0.149574717,0.099134702,40.29062098,474.4046993,11.77456906,25.92082787,30.84549927,209.1807379,gla,25.92082787,178,40.29062098,0.149574717
185,0.14974925,0.085172067,39.89140922,361.7479803,9.0683179,26.86076164,29.49277954,210.1787188,gla,26.86076164,185,39.89140922,0.14974925
391,0.058119464,0.011170107,35.78006134,265.1497896,7.410545977,22.13147163,28.11424449,400.9948178,gla,22.13147163,391,35.78006134,0.058119464
502,0.065275314,0.027925268,53.23943299,834.2727305,15.67020315,33.33114243,41.51472224,544.0394145,gla,33.33114243,502,53.23943299,0.065275314
176,0.089884456,0.076794487,20.58852411,79.70542458,3.871352029,18.22649193,9.575087855,191.9928785,gla,18.22649193,176,20.58852411,0.089884456
145,0.117635192,0.110304809,21.21894213,82.45556156,3.885941206,20.30308151,6.16671519,162.5109272,gla,20.30308151,145,21.21894213,0.117635192
124.1287282,0.131946891,0.108908545,20.59263294,78.34279384,3.804408793,18.46239853,9.121205611,134.892697,gla,18.46239853,124.1287282,20.59263294,0.131946891
103,0.15812683,0.291819051,23.75481134,78.25847372,3.294426236,22.32360268,8.120826029,124.978561,gla,22.32360268,103,23.75481134,0.15812683
1724.089894,0.052708943,-0.020943951,404.1262083,3053.96689,7.556963213,71.42758942,399.1942441,1489.386712,con,71.42758942,1724.089894,404.1262083,0.052708943
1385.664721,0.092327917,0.089360858,202.4800437,8785.028733,43.38713372,143.0921936,143.25778,1524.609204,con,143.0921936,1385.664721,202.4800437,0.092327917
1084.247037,0.073478362,0,191.8979532,2937.971545,15.31007233,66.56362915,179.9836313,1064.103828,con,66.56362915,1084.247037,191.8979532,0.073478362
649.3693973,0.107512282,0.018849556,207.1116914,3344.432678,16.14796661,50.54747009,200.8487145,623.9088141,con,50.54747009,649.3693973,207.1116914,0.107512282
1500,0.056548668,0.050265482,375.0966033,4759.454546,12.68861009,78.44597626,366.8019779,1336.158534,con,78.44597626,1500,375.0966033,0.056548668
770,0.04162833,0.00243455,175.0196843,346.0913115,1.97744221,25.22233009,173.1927366,654.7984188,con,25.22233009,770,175.0196843,0.04162833
650,0.041015237,0.145211394,216.8113304,427.5340679,1.971917552,33.76516342,214.1659795,528.6992333,con,33.76516342,650,216.8113304,0.041015237
691.9720314,0.026005406,0.086568331,190.6766919,304.2707181,1.595741541,23.97571754,189.1633309,594.3156256,con,23.97571754,691.9720314,190.6766919,0.026005406
1461.750342,0.040840704,0.049567351,391.8460234,5574.00282,14.22498249,57.23147964,387.6439909,1428.839976,con,57.23147964,1461.750342,391.8460234,0.040840704
1496.736054,0.10384709,0.082379541,640.2759504,11071.9978,17.29254049,108.2869186,631.0524821,1178.274278,con,108.2869186,1496.736054,640.2759504,0.10384709
1111.814068,0.098785636,0.071209433,386.9870937,7659.742134,19.79327543,86.0251236,377.3045042,990.9789134,con,86.0251236,1111.814068,386.9870937,0.098785636
1270.666717,0.078888882,0.06562438,555.3523182,3612.968333,6.50572297,68.78166962,551.0764734,895.1874406,con,68.78166962,1270.666717,555.3523182,0.078888882
1647.939811,0.080983277,0.086568331,576.7703764,11852.48506,20.54974657,111.4359131,565.9029104,1402.877737,con,111.4359131,1647.939811,576.7703764,0.080983277
1535.85074,0.088488193,0.00418879,637.3496744,10814.05017,16.9672169,96.61039734,632.1651152,1197.76215,con,96.61039734,1535.85074,637.3496744,0.088488193
2100,0.061959188,-0.045378561,390.4825067,16640.72362,42.61579797,125.9004135,380.6447034,2073.028685,adi,125.9004135,2100,390.4825067,0.061959188
1800,0.034208453,0.042586034,301.0603509,4406.154331,14.63545206,67.62532806,293.3669201,1742.375702,adi,67.62532806,1800,301.0603509,0.034208453
2100,0.121649449,0.37768925,450.5516668,35671.60629,79.17317572,436.0996399,113.1985701,2461.450497,adi,436.0996399,2100,450.5516668,0.121649449
1666.148786,0.012391838,0.058451474,72.93105029,1402.231665,19.22681299,51.85476685,58.59576295,1746.577504,adi,51.85476685,1666.148786,72.93105029,0.012391838
1700,0.043982297,0.105126801,120.6530096,12331.10309,102.2030294,120.2973175,-9.257696464,2212.178196,adi,120.2973175,1700,120.6530096,0.043982297
1949.118155,0.051798311,0.016500689,170.3314949,3212.077055,18.85779877,101.4558487,136.8193286,1941.367383,adi,101.4558487,1949.118155,170.3314949,0.051798311
1850,0.079149163,0.06947018,253.6214551,13113.20309,51.70383985,160.0654602,196.730498,1916.985365,adi,160.0654602,1850,253.6214551,0.079149163
2350,0.081506876,0.271573232,515.2894771,27758.64026,53.86999249,289.5690613,426.2311599,2457.676736,adi,289.5690613,2350,515.2894771,0.081506876
1800,0.091978852,0.20525072,362.8633213,15021.55389,41.39727828,217.8339691,290.2036403,1893.663712,adi,217.8339691,1800,362.8633213,0.091978852
1900,0.054454273,0.113795467,272.6180289,7481.59347,27.44350218,138.3592682,234.8984958,1924.517895,adi,138.3592682,1900,272.6180289,0.054454273
1800,0.069115038,0.157079633,385.5647043,13831.72489,35.87393953,157.5700073,351.8974774,1823.032364,adi,157.5700073,1800,385.5647043,0.069115038
1850,0.073303829,0.225496539,325.1915423,8644.984237,26.58428376,208.739975,249.3534863,1908.177239,adi,208.739975,1850,325.1915423,0.073303829
1650,0.047647489,0.043284165,274.4261775,5824.895192,21.22572724,81.23957062,262.1256559,1603.070348,adi,81.23957062,1650,274.4261775,0.047647489
2800,0.083077672,0.184306769,583.2592575,31388.65288,53.81595316,298.5829773,501.0384944,2896.582483,adi,298.5829773,2800,583.2592575,0.083077672
2329.840138,0.066147979,0.353254641,377.2533678,25369.03992,67.24668907,336.0751648,171.3872268,2686.435346,adi,336.0751648,2329.840138,377.2533678,0.066147979
2400,0.08412487,0.220609617,596.0419555,37939.25557,63.65198829,261.348175,535.6894086,2447.772353,adi,261.348175,2400,596.0419555,0.08412487
2000,0.067195176,0.124267443,330.2716456,15381.09769,46.5710511,169.1979828,283.6395644,2063.073212,adi,169.1979828,2000,330.2716456,0.067195176
2000,0.106988683,0.105417887,520.2226492,40087.92098,77.0591612,204.0903473,478.5172232,2088.64887,adi,204.0903473,2000,520.2226492,0.106988683
2600,0.200538331,0.208043247,1063.441427,174480.4762,164.0715433,418.6872864,977.5523672,2664.583623,adi,418.6872864,2600,1063.441427,0.200538331
1600,0.071907565,-0.066322512,436.943603,12655.34213,28.96333084,103.7327042,432.1297489,1475.371534,adi,103.7327042,1600,436.943603,0.071907565
2300,0.045029495,0.136833813,185.4460437,5086.292497,27.42734434,178.6917419,49.59329022,2480.592151,adi,178.6917419,2300,185.4460437,0.045029495
2600,0.069987703,0.048869219,745.4743692,39845.7737,53.45022625,154.1226044,729.368395,2545.419744,adi,154.1226044,2600,745.4743692,0.069987703
2.3136,10.6651,-3.5288,-4.7672,0,,,,,,,2.3136,-4.7672,10.6651
-1.8584,7.886,-1.6643,-1.8384,0,,,,,,,-1.8584,-1.8384,7.886
3.106,9.5414,-4.2536,-4.003,0,,,,,,,3.106,-4.003,9.5414
2.9163,10.8306,-3.3437,-4.122,0,,,,,,,2.9163,-4.122,10.8306
3.9922,-4.4676,3.7304,-0.1095,0,,,,,,,3.9922,-0.1095,-4.4676
1.518,5.6946,0.094818,-0.026738,0,,,,,,,1.518,-0.026738,5.6946
3.2351,9.647,-3.2074,-2.5948,0,,,,,,,3.2351,-2.5948,9.647
4.2188,6.8162,-1.2804,0.76076,0,,,,,,,4.2188,0.76076,6.8162
1.7819,6.9176,-1.2744,-1.5759,0,,,,,,,1.7819,-1.5759,6.9176
2.5331,2.9135,-0.822,-0.12243,0,,,,,,,2.5331,-0.12243,2.9135
3.8969,7.4163,-1.8245,0.14007,0,,,,,,,3.8969,0.14007,7.4163
2.108,6.7955,-0.1708,0.4905,0,,,,,,,2.108,0.4905,6.7955
2.8969,0.70768,2.29,1.8663,0,,,,,,,2.8969,1.8663,0.70768
0.9297,-3.7971,4.6429,-0.2957,0,,,,,,,0.9297,-0.2957,-3.7971
3.4642,10.6878,-3.4071,-4.109,0,,,,,,,3.4642,-4.109,10.6878
4.0713,10.4023,-4.1722,-4.7582,0,,,,,,,4.0713,-4.7582,10.4023
-1.4572,9.1214,1.7425,-5.1241,0,,,,,,,-1.4572,-5.1241,9.1214
-1.5075,1.9224,7.1466,0.89136,0,,,,,,,-1.5075,0.89136,1.9224
-0.91718,9.9884,1.1804,-5.2263,0,,,,,,,-0.91718,-5.2263,9.9884
2.994,7.2011,-1.2153,0.3211,0,,,,,,,2.994,0.3211,7.2011
-2.343,12.9516,3.3285,-5.9426,0,,,,,,,-2.343,-5.9426,12.9516
3.7818,-2.8846,2.2558,-0.15734,0,,,,,,,3.7818,-0.15734,-2.8846
4.6689,1.3098,0.055404,1.909,0,,,,,,,4.6689,1.909,1.3098
3.4663,1.1112,1.7425,1.3388,0,,,,,,,3.4663,1.3388,1.1112
3.2697,-4.3414,3.6884,-0.29829,0,,,,,,,3.2697,-0.29829,-4.3414
5.1302,8.6703,-2.8913,-1.5086,0,,,,,,,5.1302,-1.5086,8.6703
2.0139,6.1416,0.37929,0.56938,0,,,,,,,2.0139,0.56938,6.1416
0.4339,5.5395,2.033,-0.40432,0,,,,,,,0.4339,-0.40432,5.5395
-1.0401,9.3987,0.85998,-5.3336,0,,,,,,,-1.0401,-5.3336,9.3987
4.1605,11.2196,-3.6136,-4.0819,0,,,,,,,4.1605,-4.0819,11.2196
5.438,9.4669,-4.9417,-3.9202,0,,,,,,,5.438,-3.9202,9.4669
5.032,8.2026,-2.6256,-1.0341,0,,,,,,,5.032,-1.0341,8.2026
5.2418,10.5388,-4.1174,-4.2797,0,,,,,,,5.2418,-4.2797,10.5388
-0.2062,9.2207,-3.7044,-6.8103,0,,,,,,,-0.2062,-6.8103,9.2207
2.0911,0.94358,4.5512,1.234,0,,,,,,,2.0911,1.234,0.94358
1.7317,-0.34765,4.1905,-0.99138,0,,,,,,,1.7317,-0.99138,-0.34765
4.1736,3.3336,-1.4244,0.60429,0,,,,,,,4.1736,0.60429,3.3336
3.9232,-3.2467,3.4579,0.83705,0,,,,,,,3.9232,0.83705,-3.2467
3.8481,10.1539,-3.8561,-4.2228,0,,,,,,,3.8481,-4.2228,10.1539
0.5195,-3.2633,3.0895,-0.9849,0,,,,,,,0.5195,-0.9849,-3.2633
3.8584,0.78425,1.1033,1.7008,0,,,,,,,3.8584,1.7008,0.78425
1.7496,-0.1759,5.1827,1.2922,0,,,,,,,1.7496,1.2922,-0.1759
3.6277,0.9829,0.68861,0.63403,0,,,,,,,3.6277,0.63403,0.9829
2.7391,7.4018,0.071684,-2.5302,0,,,,,,,2.7391,-2.5302,7.4018
4.5447,8.2274,-2.4166,-1.5875,0,,,,,,,4.5447,-1.5875,8.2274
-1.7599,11.9211,2.6756,-3.3241,0,,,,,,,-1.7599,-3.3241,11.9211
5.0691,0.21313,0.20278,1.2095,0,,,,,,,5.0691,1.2095,0.21313
3.4591,11.112,-4.2039,-5.0931,0,,,,,,,3.4591,-5.0931,11.112
1.9358,8.1654,-0.023425,-2.2586,0,,,,,,,1.9358,-2.2586,8.1654
2.486,-0.99533,5.3404,-0.15475,0,,,,,,,2.486,-0.15475,-0.99533
2.4226,-4.5752,5.947,0.21507,0,,,,,,,2.4226,0.21507,-4.5752
3.9479,-3.7723,2.883,0.019813,0,,,,,,,3.9479,0.019813,-3.7723
2.2634,-4.4862,3.6558,-0.61251,0,,,,,,,2.2634,-0.61251,-4.4862
1.3566,4.2358,2.1341,0.3211,0,,,,,,,1.3566,0.3211,4.2358
5.0452,3.8964,-1.4304,0.86291,0,,,,,,,5.0452,0.86291,3.8964
3.5499,8.6165,-3.2794,-1.2009,0,,,,,,,3.5499,-1.2009,8.6165
0.17346,7.8695,0.26876,-3.7883,0,,,,,,,0.17346,-3.7883,7.8695
2.4008,9.3593,-3.3565,-3.3526,0,,,,,,,2.4008,-3.3526,9.3593
4.8851,1.5995,-0.00029081,1.6401,0,,,,,,,4.8851,1.6401,1.5995
4.1927,-3.2674,2.5839,0.21766,0,,,,,,,4.1927,0.21766,-3.2674
1.1166,8.6496,-0.96252,-1.8112,0,,,,,,,1.1166,-1.8112,8.6496
1.0235,6.901,-2.0062,-2.7125,0,,,,,,,1.0235,-2.7125,6.901
-1.803,11.8818,2.0458,-5.2728,0,,,,,,,-1.803,-5.2728,11.8818
0.11739,6.2761,-1.5495,-2.4746,0,,,,,,,0.11739,-2.4746,6.2761
0.5706,-0.0248,1.2421,-0.5621,0,,,,,,,0.5706,-0.5621,-0.0248
4.0552,-2.4583,2.2806,1.0323,0,,,,,,,4.0552,1.0323,-2.4583
-1.6952,1.0657,8.8294,0.94955,0,,,,,,,-1.6952,0.94955,1.0657
-1.1193,10.7271,2.0938,-5.6504,0,,,,,,,-1.1193,-5.6504,10.7271
1.8799,2.4707,2.4931,0.37671,0,,,,,,,1.8799,0.37671,2.4707
3.583,-3.7971,3.4391,-0.12501,0,,,,,,,3.583,-0.12501,-3.7971
0.19081,9.1297,-3.725,-5.8224,0,,,,,,,0.19081,-5.8224,9.1297
3.6582,5.6864,-1.7157,-0.23751,0,,,,,,,3.6582,-0.23751,5.6864
-0.13144,-1.7775,8.3316,0.35214,0,,,,,,,-0.13144,0.35214,-1.7775
2.3925,9.798,-3.0361,-2.8224,0,,,,,,,2.3925,-2.8224,9.798
1.6426,3.0149,0.22849,-0.147,0,,,,,,,1.6426,-0.147,3.0149
-0.11783,-1.5789,8.03,-0.028031,0,,,,,,,-0.11783,-0.028031,-1.5789
-0.69572,8.6165,1.8419,-4.3289,0,,,,,,,-0.69572,-4.3289,8.6165
2.9421,7.4101,-0.97709,-0.88406,0,,,,,,,2.9421,-0.88406,7.4101
-1.7559,11.9459,3.0946,-4.8978,0,,,,,,,-1.7559,-4.8978,11.9459
-1.2537,10.8803,1.931,-4.3237,0,,,,,,,-1.2537,-4.3237,10.8803
3.2585,-4.4614,3.8024,-0.15087,0,,,,,,,3.2585,-0.15087,-4.4614
1.8314,6.3672,-0.036278,0.049554,0,,,,,,,1.8314,0.049554,6.3672
4.5645,-3.6275,2.8684,0.27714,0,,,,,,,4.5645,0.27714,-3.6275
2.7365,-5.0325,6.6608,-0.57889,0,,,,,,,2.7365,-0.57889,-5.0325
0.9297,-3.7971,4.6429,-0.2957,0,,,,,,,0.9297,-0.2957,-3.7971
3.9663,10.1684,-4.1131,-4.6056,0,,,,,,,3.9663,-4.6056,10.1684
1.4578,-0.08485,4.1785,0.59136,0,,,,,,,1.4578,0.59136,-0.08485
4.8272,3.0687,0.68604,0.80731,0,,,,,,,4.8272,0.80731,3.0687
-2.341,12.3784,0.70403,-7.5836,0,,,,,,,-2.341,-7.5836,12.3784
-1.8584,7.886,-1.6643,-1.8384,0,,,,,,,-1.8584,-1.8384,7.886
4.1454,7.257,-1.9153,-0.86078,0,,,,,,,4.1454,-0.86078,7.257
1.9157,6.0816,0.23705,-2.0116,0,,,,,,,1.9157,-2.0116,6.0816
4.0215,-2.1914,2.4648,1.1409,0,,,,,,,4.0215,1.1409,-2.1914
5.8862,5.8747,-2.8167,-0.30087,0,,,,,,,5.8862,-0.30087,5.8747
-2.0897,10.8265,2.3603,-3.4198,0,,,,,,,-2.0897,-3.4198,10.8265
4.0026,-3.5943,3.5573,0.26809,0,,,,,,,4.0026,0.26809,-3.5943
-0.78689,9.5663,-3.7867,-7.5034,0,,,,,,,-0.78689,-7.5034,9.5663
4.1757,10.2615,-3.8552,-4.3056,0,,,,,,,4.1757,-4.3056,10.2615
0.83292,7.5404,0.65005,-0.92544,0,,,,,,,0.83292,-0.92544,7.5404
4.8077,2.2327,-0.26334,1.5534,0,,,,,,,4.8077,1.5534,2.2327
5.3063,5.2684,-2.8904,-0.52716,0,,,,,,,5.3063,-0.52716,5.2684
2.5605,9.2683,-3.5913,-1.356,0,,,,,,,2.5605,-1.356,9.2683
2.1059,7.6046,-0.47755,-1.8461,0,,,,,,,2.1059,-1.8461,7.6046
2.1721,-0.73874,5.4672,-0.72371,0,,,,,,,2.1721,-0.72371,-0.73874
4.2899,9.1814,-4.6067,-4.3263,0,,,,,,,4.2899,-4.3263,9.1814
3.5156,10.1891,-4.2759,-4.978,0,,,,,,,3.5156,-4.978,10.1891
2.614,8.0081,-3.7258,-1.3069,0,,,,,,,2.614,-1.3069,8.0081
0.68087,2.3259,4.9085,0.54998,0,,,,,,,0.68087,0.54998,2.3259
4.1962,0.74493,0.83256,0.753,0,,,,,,,4.1962,0.753,0.74493
6.0919,2.9673,-1.3267,1.4551,0,,,,,,,6.0919,1.4551,2.9673
1.3234,3.2964,0.2362,-0.11984,0,,,,,,,1.3234,-0.11984,3.2964
1.3264,1.0326,5.6566,-0.41337,0,,,,,,,1.3264,-0.41337,1.0326
-0.16735,7.6274,1.2061,-3.6241,0,,,,,,,-0.16735,-3.6241,7.6274
-1.3,10.2678,-2.953,-5.8638,0,,,,,,,-1.3,-5.8638,10.2678
-2.2261,12.5398,2.9438,-3.5258,0,,,,,,,-2.2261,-3.5258,12.5398
2.4196,6.4665,-0.75688,0.228,0,,,,,,,2.4196,0.228,6.4665
1.0987,0.6394,5.989,-0.58277,0,,,,,,,1.0987,-0.58277,0.6394
4.6464,10.5326,-4.5852,-4.206,0,,,,,,,4.6464,-4.206,10.5326
-0.36038,4.1158,3.1143,-0.37199,0,,,,,,,-0.36038,-0.37199,4.1158
1.3562,3.2136,4.3465,0.78662,0,,,,,,,1.3562,0.78662,3.2136
0.5706,-0.0248,1.2421,-0.5621,0,,,,,,,0.5706,-0.5621,-0.0248
-2.6479,10.1374,-1.331,-5.4707,0,,,,,,,-2.6479,-5.4707,10.1374
3.1219,-3.137,1.9259,-0.37458,0,,,,,,,3.1219,-0.37458,-3.137
5.4944,1.5478,0.041694,1.9284,0,,,,,,,5.4944,1.9284,1.5478
-1.3389,1.552,7.0806,1.031,0,,,,,,,-1.3389,1.031,1.552
-2.3361,11.9604,3.0835,-5.4435,0,,,,,,,-2.3361,-5.4435,11.9604
2.2596,-0.033118,4.7355,-0.2776,0,,,,,,,2.2596,-0.2776,-0.033118
0.46901,-0.63321,7.3848,0.36507,0,,,,,,,0.46901,0.36507,-0.63321
2.7296,2.8701,0.51124,0.5099,0,,,,,,,2.7296,0.5099,2.8701
